x p lik w1 w3
-0.020000 0.005257 0.485004 0.005099 0.001449
-0.010000 0.005170 0.492501 0.005092 0.001492
0.000000 0.005141 0.500000 0.005141 0.001553
0.010000 0.005170 0.507499 0.005247 0.001633
0.020000 0.005257 0.514996 0.005414 0.001735
0.030000 0.005402 0.522485 0.005645 0.001862
0.040000 0.005607 0.529964 0.005943 0.002017
0.050000 0.005873 0.537430 0.006312 0.002203
0.060000 0.006201 0.544879 0.006758 0.002424
0.070000 0.006594 0.552308 0.007284 0.002684
0.080000 0.007054 0.559714 0.007896 0.002989
0.090000 0.007584 0.567093 0.008601 0.003342
0.100000 0.008187 0.574443 0.009406 0.003750
0.110000 0.008867 0.581759 0.010317 0.004218
0.120000 0.009627 0.589040 0.011342 0.004754
0.130000 0.010473 0.596283 0.012490 0.005365
0.140000 0.011408 0.603483 0.013769 0.006058
0.150000 0.012439 0.610639 0.015191 0.006843
0.160000 0.013569 0.617748 0.016765 0.007729
0.170000 0.014806 0.624806 0.018502 0.008726
0.180000 0.016155 0.631812 0.020414 0.009845
0.190000 0.017623 0.638763 0.022514 0.011098
0.200000 0.019216 0.645656 0.024814 0.012497
0.210000 0.020942 0.652489 0.027330 0.014057
0.220000 0.022809 0.659260 0.030074 0.015791
0.230000 0.024823 0.665967 0.033062 0.017715
0.240000 0.026993 0.672607 0.036311 0.019846
0.250000 0.029327 0.679179 0.039836 0.022200
0.260000 0.031833 0.685680 0.043655 0.024796
0.270000 0.034521 0.692110 0.047784 0.027653
0.280000 0.037398 0.698465 0.052243 0.030791
0.290000 0.040475 0.704746 0.057049 0.034230
0.300000 0.043759 0.710950 0.062221 0.037994
0.310000 0.047260 0.717075 0.067778 0.042104
0.320000 0.050987 0.723122 0.073740 0.046583
0.330000 0.054949 0.729088 0.080126 0.051456
0.340000 0.059155 0.734973 0.086955 0.056747
0.350000 0.063614 0.740775 0.094248 0.062481
0.360000 0.068335 0.746494 0.102024 0.068684
0.370000 0.073326 0.752129 0.110301 0.075382
0.380000 0.078595 0.757680 0.119099 0.082600
0.390000 0.084149 0.763145 0.128436 0.090366
0.400000 0.089997 0.768525 0.138331 0.098704
0.410000 0.096146 0.773819 0.148799 0.107642
0.420000 0.102600 0.779026 0.159857 0.117203
0.430000 0.109367 0.784147 0.171521 0.127413
0.440000 0.116452 0.789182 0.183803 0.138296
0.450000 0.123858 0.794130 0.196718 0.149875
0.460000 0.131588 0.798991 0.210276 0.162172
0.470000 0.139647 0.803766 0.224487 0.175208
0.480000 0.148034 0.808455 0.239358 0.189000
0.490000 0.156751 0.813057 0.254896 0.203567
0.500000 0.165798 0.817574 0.271104 0.218924
0.510000 0.175171 0.822006 0.287985 0.235083
0.520000 0.184870 0.826353 0.305536 0.252056
0.530000 0.194889 0.830616 0.323756 0.269849
0.540000 0.205222 0.834795 0.342637 0.288468
0.550000 0.215864 0.838891 0.362173 0.307914
0.560000 0.226805 0.842905 0.382351 0.328187
0.570000 0.238036 0.846836 0.403156 0.349281
0.580000 0.249546 0.850687 0.424572 0.371188
0.590000 0.261323 0.854458 0.446579 0.393896
0.600000 0.273351 0.858149 0.469152 0.417389
0.610000 0.285615 0.861762 0.492264 0.441647
0.620000 0.298098 0.865297 0.515887 0.466646
0.630000 0.310781 0.868756 0.539986 0.492357
0.640000 0.323644 0.872138 0.564525 0.518748
0.650000 0.336665 0.875447 0.589465 0.545783
0.660000 0.349821 0.878681 0.614763 0.573420
0.670000 0.363087 0.881843 0.640373 0.601614
0.680000 0.376438 0.884933 0.666246 0.630316
0.690000 0.389847 0.887953 0.692332 0.659473
0.700000 0.403285 0.890903 0.718576 0.689027
0.710000 0.416722 0.893785 0.744922 0.718918
0.720000 0.430130 0.896600 0.771309 0.749080
0.730000 0.443475 0.899348 0.797679 0.779446
0.740000 0.456727 0.902031 0.823966 0.809944
0.750000 0.469853 0.904651 0.850107 0.840500
0.760000 0.482819 0.907207 0.876035 0.871038
0.770000 0.495592 0.909702 0.901684 0.901478
0.780000 0.508138 0.912136 0.926984 0.931738
0.790000 0.520423 0.914511 0.951867 0.961737
0.800000 0.532413 0.916827 0.976264 0.991390
0.810000 0.544075 0.919087 1.000105 1.020613
0.820000 0.555374 0.921290 1.023323 1.049319
0.830000 0.566279 0.923438 1.045848 1.077424
0.840000 0.576756 0.925532 1.067615 1.104842
0.850000 0.586776 0.927574 1.088557 1.131489
0.860000 0.596306 0.929563 1.108609 1.157281
0.870000 0.605318 0.931502 1.127712 1.182139
0.880000 0.613784 0.933392 1.145803 1.205981
0.890000 0.621677 0.935233 1.162827 1.228732
0.900000 0.628972 0.937027 1.178729 1.250318
0.910000 0.635646 0.938774 1.193458 1.270667
0.920000 0.641678 0.940476 1.206967 1.289713
0.930000 0.647048 0.942133 1.219212 1.307393
0.940000 0.651738 0.943747 1.230153 1.323649
0.950000 0.655733 0.945319 1.239755 1.338427
0.960000 0.659020 0.946849 1.247986 1.351679
0.970000 0.661588 0.948339 1.254820 1.363361
0.980000 0.663428 0.949789 1.260235 1.373434
0.990000 0.664535 0.951200 1.264213 1.381868
