x v
0.85961914 0.38423556
0.86157227 0.47287419
0.86352539 0.53138898
0.86547852 0.55222269
0.86743164 0.53234568
0.86938477 0.47367324
0.87133789 0.38284616
0.87329102 0.2704044
0.87524414 0.14946448
0.87719727 0.034076725
0.87915039 -0.06252032
0.88110352 -0.1295196
0.88305664 -0.15983031
0.88500977 -0.15086616
0.88696289 -0.10474465
0.88891602 -0.027884679
0.89086914 0.069929441
0.89282227 0.17687997
0.89477539 0.28065675
0.89672852 0.36999749
0.89868164 0.43602383
0.90063477 0.47320403
0.90258789 0.47982936
0.90454102 0.45796176
0.90649414 0.41288433
0.90844727 0.35215354
0.91040039 0.28440353
0.91235352 0.21808119
0.91430664 0.16029303
0.91625977 0.11592156
0.91821289 0.087123314
0.92016602 0.073261285
0.92211914 0.071258957
0.92407227 0.076302124
0.92602539 0.08276621
0.92797852 0.085218083
0.92993164 0.079335749
0.93188477 0.062607174
0.93383789 0.034707419
0.93579102 -0.0024946997
0.93774414 -0.045291338
0.93969727 -0.088787551
0.94165039 -0.12774212
0.94360352 -0.15746219
0.94555664 -0.17461086
0.94750977 -0.17780228
0.94946289 -0.16789318
0.95141602 -0.14792685
0.95336914 -0.12273905
0.95532227 -0.098285647
0.95727539 -0.080793355
0.95922852 -0.075859659
0.96118164 -0.087634136
0.96313477 -0.11819944
0.96508789 -0.16723896
0.96704102 -0.23203462
0.96899414 -0.30778928
0.97094727 -0.38822097
0.97290039 -0.46633821
0.97485352 -0.53528189
0.97680664 -0.58911336
0.97875977 -0.62344088
0.98071289 -0.63580439
0.98266602 -0.62577823
0.98461914 -0.59479546
0.98657227 -0.54573949
0.98852539 -0.48238223
0.99047852 -0.40876786
0.99243164 -0.32864473
0.99438477 -0.24503497
0.99633789 -0.16000393
0.99829102 -0.074655213
