x y z
0.085938 0.679688 0.027527
0.085938 0.695312 0.026184
0.085938 0.710938 0.024841
0.085938 0.726562 0.023499
0.085938 0.742188 0.022156
0.085938 0.757812 0.020813
0.085938 0.773438 0.019470
0.085938 0.789062 0.018127
0.085938 0.804688 0.016785
0.085938 0.820312 0.015442
0.085938 0.835938 0.014099
0.085938 0.851562 0.012756
0.085938 0.867188 0.011414
0.085938 0.882812 0.010071
0.085938 0.898438 0.008728
0.085938 0.914062 0.007385
0.085938 0.929688 0.006042
0.085938 0.945312 0.004700
0.085938 0.960938 0.003357
0.085938 0.976562 0.002014
0.085938 0.992188 0.000671
0.101562 0.007812 0.007019
0.101562 0.023438 0.021057
0.101562 0.039062 0.035095
0.101562 0.054688 0.049133
0.101562 0.070312 0.063171
0.101562 0.085938 0.077209
0.101562 0.101562 0.091248
0.101562 0.117188 0.089661
0.101562 0.132812 0.088074
0.101562 0.148438 0.086487
0.101562 0.164062 0.084900
0.101562 0.179688 0.083313
0.101562 0.195312 0.081726
0.101562 0.210938 0.080139
0.101562 0.226562 0.078552
0.101562 0.242188 0.076965
0.101562 0.257812 0.075378
0.101562 0.273438 0.073792
0.101562 0.289062 0.072205
0.101562 0.304688 0.070618
0.101562 0.320312 0.069031
0.101562 0.335938 0.067444
0.101562 0.351562 0.065857
0.101562 0.367188 0.064270
0.101562 0.382812 0.062683
0.101562 0.398438 0.061096
0.101562 0.414062 0.059509
0.101562 0.429688 0.057922
0.101562 0.445312 0.056335
0.101562 0.460938 0.054749
0.101562 0.476562 0.053162
0.101562 0.492188 0.051575
0.101562 0.507812 0.049988
0.101562 0.523438 0.048401
0.101562 0.539062 0.046814
0.101562 0.554688 0.045227
0.101562 0.570312 0.043640
0.101562 0.585938 0.042053
0.101562 0.601562 0.040466
0.101562 0.617188 0.038879
0.101562 0.632812 0.037292
0.101562 0.648438 0.035706
0.101562 0.664062 0.034119
0.101562 0.679688 0.032532
0.101562 0.695312 0.030945
0.101562 0.710938 0.029358
0.101562 0.726562 0.027771
0.101562 0.742188 0.026184
0.101562 0.757812 0.024597
0.101562 0.773438 0.023010
0.101562 0.789062 0.021423
0.101562 0.804688 0.019836
0.101562 0.820312 0.018250
0.101562 0.835938 0.016663
0.101562 0.851562 0.015076
0.101562 0.867188 0.013489
0.101562 0.882812 0.011902
0.101562 0.898438 0.010315
0.101562 0.914062 0.008728
0.101562 0.929688 0.007141
0.101562 0.945312 0.005554
0.101562 0.960938 0.003967
0.101562 0.976562 0.002380
0.101562 0.992188 0.000793
0.117188 0.007812 0.006897
0.117188 0.023438 0.020691
0.117188 0.039062 0.034485
0.117188 0.054688 0.048279
0.117188 0.070312 0.062073
0.117188 0.085938 0.075867
0.117188 0.101562 0.089661
0.117188 0.117188 0.103455
0.117188 0.132812 0.101624
0.117188 0.148438 0.099792
0.117188 0.164062 0.097961
0.117188 0.179688 0.096130
0.117188 0.195312 0.094299
0.117188 0.210938 0.092468
0.117188 0.226562 0.090637
0.117188 0.242188 0.088806
0.117188 0.257812 0.086975
0.117188 0.273438 0.085144
0.117188 0.289062 0.083313
0.117188 0.304688 0.081482
0.117188 0.320312 0.079651
0.117188 0.335938 0.077820
0.117188 0.351562 0.075989
0.117188 0.367188 0.074158
0.117188 0.382812 0.072327
0.117188 0.398438 0.070496
